Player	Pos.	Italy	Club
Salvatore Sirigu	GK	Italy	Torino
Gianluigi Donnarumma	GK	Italy	Milan
Alex Meret	GK	Italy	Napoli
Giorgio Chiellini (captain)	DF	Italy	Juventus
Leonardo Bonucci	DF	Italy	Juventus
Alessandro Florenzi	DF	Italy	Paris Saint-Germain
Emerson	DF	Italy	Chelsea
Francesco Acerbi	DF	Italy	Lazio
Leonardo Spinazzola	DF	Italy	Roma
Giovanni Di Lorenzo	DF	Italy	Napoli
Gianluca Mancini	DF	Italy	Roma
Alessandro Bastoni	DF	Italy	Internazionale
Rafael Tolói	DF	Italy	Atalanta
Marco Verratti	MF	Italy	Paris Saint-Germain
Jorginho	MF	Italy	Chelsea
Nicolò Barella	MF	Italy	Internazionale
Lorenzo Pellegrini	MF	Italy	Roma
Bryan Cristante	MF	Italy	Roma
Manuel Locatelli	MF	Italy	Sassuolo
Stefano Sensi	MF	Italy	Internazionale
Matteo Pessina	MF	Italy	Atalanta
Ciro Immobile	FW	Italy	Lazio
Lorenzo Insigne	FW	Italy	Napoli
Andrea Belotti	FW	Italy	Torino
Federico Bernardeschi	FW	Italy	Juventus
Federico Chiesa	FW	Italy	Juventus
Domenico Berardi	FW	Italy	Sassuolo
Matteo Politano	FW	Italy	Napoli
Player	Pos.	Switzerland	Club
Yann Sommer	GK	Switzerland	Borussia Mönchengladbach
Yvon Mvogo	GK	Switzerland	PSV Eindhoven
Jonas Omlin	GK	Switzerland	Montpellier
Ricardo Rodríguez	DF	Switzerland	Torino
Fabian Schär	DF	Switzerland	Newcastle United
Manuel Akanji	DF	Switzerland	Borussia Dortmund
Nico Elvedi	DF	Switzerland	Borussia Mönchengladbach
Silvan Widmer	DF	Switzerland	Basel
Loris Benito	DF	Switzerland	Bordeaux
Kevin Mbabu	DF	Switzerland	VfL Wolfsburg
Eray Cömert	DF	Switzerland	Basel
Bećir Omeragić	DF	Switzerland	Zürich
Jordan Lotomba	DF	Switzerland	Nice
Granit Xhaka (captain)	MF	Switzerland	Arsenal
Xherdan Shaqiri	MF	Switzerland	Liverpool
Steven Zuber	MF	Switzerland	Eintracht Frankfurt
Denis Zakaria	MF	Switzerland	Borussia Mönchengladbach
Remo Freuler	MF	Switzerland	Atalanta
Edimilson Fernandes	MF	Switzerland	Mainz 05
Djibril Sow	MF	Switzerland	Eintracht Frankfurt
Haris Seferović	FW	Switzerland	Benfica
Admir Mehmedi	FW	Switzerland	VfL Wolfsburg
Breel Embolo	FW	Switzerland	Borussia Mönchengladbach
Mario Gavranović	FW	Switzerland	Dinamo Zagreb
Ruben Vargas	FW	Switzerland	FC Augsburg
Christian Fassnacht	FW	Switzerland	Young Boys
Player	Pos.	Turkey	Club
Mert Günok	GK	Turkey	İstanbul Başakşehir
Uğurcan Çakır	GK	Turkey	Trabzonspor
Gökhan Akkan	GK	Turkey	Çaykur Rizespor
Altay Bayındır	GK	Turkey	Fenerbahçe
Kaan Ayhan	DF	Turkey	Sassuolo
Çağlar Söyüncü	DF	Turkey	Leicester City
Merih Demiral	DF	Turkey	Juventus
Zeki Çelik	DF	Turkey	Lille
Umut Meraş	DF	Turkey	Le Havre
Ozan Kabak	DF	Turkey	Liverpool
Mert Müldür	DF	Turkey	Sassuolo
Rıdvan Yılmaz	DF	Turkey	Beşiktaş
Ozan Tufan	MF	Turkey	Fenerbahçe
Hakan Çalhanoğlu	MF	Turkey	Milan
Okay Yokuşlu	MF	Turkey	West Bromwich Albion
Yusuf Yazıcı	MF	Turkey	Lille
Cengiz Ünder	MF	Turkey	Leicester City
Mahmut Tekdemir	MF	Turkey	İstanbul Başakşehir
İrfan Kahveci	MF	Turkey	Fenerbahçe
Abdülkadir Ömür	MF	Turkey	Trabzonspor
Dorukhan Toköz	MF	Turkey	Beşiktaş
Efecan Karaca	MF	Turkey	Alanyaspor
Taylan Antalyalı	MF	Turkey	Galatasaray
Orkun Kökçü	MF	Turkey	Feyenoord
Halil Akbunar	MF	Turkey	Göztepe
Kerem Aktürkoğlu	MF	Turkey	Galatasaray
Burak Yılmaz (captain)	FW	Turkey	Lille
Enes Ünal	FW	Turkey	Getafe
Kenan Karaman	FW	Turkey	Fortuna Düsseldorf
Halil Dervişoğlu	FW	Turkey	Galatasaray
Player	Pos.	Wales	Club
Wayne Hennessey	GK	Wales	Crystal Palace
Danny Ward	GK	Wales	Leicester City
Adam Davies	GK	Wales	Stoke City
Chris Gunter	DF	Wales	Charlton Athletic
Ben Davies	DF	Wales	Tottenham Hotspur
