country	name	sortname	position	club
Brazil	Alisson BeckerAlisson	Alisson Becker	GK	A.S. Roma
Brazil	Cássio RamosCássio	Cassio Ramos	GK	Sport Club Corinthians Paulista
Brazil	Ederson MoraesEderson	Ederson Moraes	GK	Manchester City F.C.
Brazil	Danilo Danilo	Danilo Luiz Da Silva	DF	Manchester City F.C.
Brazil	Fagner Conserva LemosFagner	Fagner	DF	Sport Club Corinthians Paulista
Brazil	Filipe Luís	Filipe Luis	DF	Atlético Madrid
Brazil	Pedro Geromel	Geromel, Pedro	DF	Grêmio Foot-Ball Porto Alegrense
Brazil	Marcelo Marcelo	Marcelo Vieira	DF	Real Madrid C.F.
Brazil	Marquinhos	Marquinhos	DF	Paris Saint-Germain F.C.
Brazil	Miranda Miranda	Miranda	DF	Inter Milan
Brazil	Thiago Silva	Silva, Thiago	DF	Paris Saint-Germain F.C.
Brazil	Casemiro	Casemiro	MF	Real Madrid C.F.
Brazil	Philippe Coutinho	Coutinho, Philippe	MF	FC Barcelona
Brazil	Fernandinho Fernandinho	Fernandinho	MF	Manchester City F.C.
Brazil	Fred Fred	Fred	MF	FC Shakhtar Donetsk
Brazil	Paulinho Paulinho	Paulinho	MF	FC Barcelona
Brazil	Renato Augusto	Renato Augusto	MF	Beijing Sinobo Guoan F.C.
Brazil	Willian Willian	Willian	MF	Chelsea F.C.
Brazil	Douglas Costa	Costa, Douglas	FW	Juventus F.C.
Brazil	Roberto Firmino	Firmino, Roberto	FW	Liverpool F.C.
Brazil	Gabriel Jesus	Jesus, Gabriel	FW	Manchester City F.C.
Brazil	Neymar	Neymar	FW	Paris Saint-Germain F.C.
Brazil	Taison	Taison	FW	FC Shakhtar Donetsk
Panama	José Calderón José Calderón	Calderon, Jose	GK	Unión Deportivo Universitario
Panama	Jaime Penedo	Penedo, Jaime	GK	FC Dinamo București
Panama	Álex Rodríguez Álex Rodríguez	Rodriguez, Alex	GK	San Francisco F.C.
Panama	Azmahar Ariano	Ariano, Azmahar	DF	Patriotas Boyacá
Panama	Felipe Baloy	Baloy, Felipe	DF	C.S.D. Municipal
Panama	Harold Cummings	Cummings, Harold	DF	San Jose Earthquakes
Panama	Erick Davis	Davis, Erick	DF	FC DAC 1904 Dunajská Streda
Panama	Fidel Escobar	Escobar, Fidel	DF	New York Red Bulls
Panama	Adolfo Machado	Machado, Adolfo	DF	Houston Dynamo
Panama	Michael Amir Murillo	Murillo, Michael Amir	DF	New York Red Bulls
Panama	Luis Ovalle	Ovalle, Luis	DF	Club Deportivo Olimpia
Panama	Francisco Palacios AlleyneFrancisco Palacios	Palacios, Francisco	DF	San Francisco F.C.
Panama	Richard Peralta	Peralta, Richard	DF	Alianza F.C. (Panama)
Panama	Román Torres	Torres, Roman	DF	Seattle Sounders FC
Panama	Ricardo Ávila	Avila, Ricardo	MF	K.A.A. Gent
Panama	Édgar Joel BárcenasÉdgar Bárcenas	Barcenas, Edgar Joel	MF	Cafetaleros de Tapachula
Panama	Ricardo Buitrago	Buitrago, Ricardo	MF	Deportivo Municipal
Panama	Miguel Camargo	Camargo, Miguel	MF	Club Deportivo Universidad de San Martín de Porres
Panama	Adalberto Carrasquilla	Carrasquilla, Adalberto	MF	Tauro F.C.
Panama	Armando Cooper	Cooper, Armando	MF	Club Universidad de Chile
Panama	Aníbal Godoy	Godoy, Anibal	MF	San Jose Earthquakes
Panama	Gabriel Enrique GómezGabriel Gómez	Gomez, Gabriel Enrique	MF	Atlético Bucaramanga
Panama	José González Joly	Gonzalez Joly, Jose	MF	Unión Comercio
Panama	Cristian Martínez Cristian Martínez	Martinez, Cristian	MF	Columbus Crew SC
Panama	Valentín Pimentel	Pimentel, Valentin	MF	C.D. Plaza Amador
