Sergio Romero	Goal Keeper	Argentina	Monaco
Mariano Andújar	Goal Keeper	Argentina	Catania
Agustín Orión	Goal Keeper	Argentina	Boca Juniors
Martín Demichelis	Defender	Argentina	Manchester City
Pablo Zabaleta	Defender	Argentina	Manchester City
Federico Fernández	Defender	Argentina	Napoli
Marcos Rojo	Defender	Argentina	Sporting CP
Ezequiel Garay	Defender	Argentina	Benfica
Nicolás Otamendi	Defender	Argentina	Atlético Mineiro
Hugo Campagnaro	Defender	Argentina	Internazionale
José María Basanta	Defender	Argentina	Monterrey
Javier Mascherano	Midfielder	Argentina	Barcelona
Maxi Rodríguez	Midfielder	Argentina	Newell's Old Boys
Fernando Gago	Midfielder	Argentina	Boca Juniors
Ángel di María	Midfielder	Argentina	Real Madrid
Éver Banega	Midfielder	Argentina	Newell's Old Boys
José Ernesto Sosa	Midfielder	Argentina	Atlético Madrid
Lucas Biglia	Midfielder	Argentina	Lazio
Augusto Fernández	Midfielder	Argentina	Celta Vigo
Ricardo Álvarez	Midfielder	Argentina	Internazionale
Enzo Pérez	Midfielder	Argentina	Benfica
Lionel Messi	Forward	Argentina	Barcelona
Sergio Agüero	Forward	Argentina	Manchester City
Gonzalo Higuaín	Forward	Argentina	Napoli
Ezequiel Lavezzi	Forward	Argentina	Paris Saint-Germain
Rodrigo Palacio	Forward	Argentina	Internazionale
Eugene Galeković	Goal Keeper	Australia	Adelaide United
Mathew Ryan	Goal Keeper	Australia	Club Brugge
Mitchell Langerak	Goal Keeper	Australia	Borussia Dortmund
Mark Birighitti	Goal Keeper	Australia	Newcastle Jets
Luke Wilkshire	Defender	Australia	Dynamo Moscow
Matthew Špiranović	Defender	Australia	Western Sydney Wanderers
Ryan McGowan	Defender	Australia	Shandong Luneng Taishan
Ivan Franjić	Defender	Australia	Brisbane Roar
Jason Davidson	Defender	Australia	Heracles Almelo
Curtis Good	Defender	Australia	Dundee United
Alex Wilkinson	Defender	Australia	Jeonbuk Hyundai Motors
Bailey Wright	Defender	Australia	Preston North End
Mark Bresciano	Midfielder	Australia	Al-Gharafa
Matt McKay	Midfielder	Australia	Brisbane Roar
Mile Jedinak (captain)	Midfielder	Australia	Crystal Palace
Mark Milligan	Midfielder	Australia	Melbourne Victory
Dario Vidošić	Midfielder	Australia	Sion
Tommy Oar	Midfielder	Australia	Utrecht
James Holland	Midfielder	Australia	Austria Wien
James Troisi	Midfielder	Australia	Atalanta
Tom Rogić	Midfielder	Australia	Celtic
Adam Sarota	Midfielder	Australia	Utrecht
Oliver Bozanic	Midfielder	Australia	Luzern
Joshua Brillante	Midfielder	Australia	Newcastle Jets
Massimo Luongo	Midfielder	Australia	Swindon Town
Ben Halloran	Midfielder	Australia	Fortuna Düsseldorf
Tim Cahill	Forward	Australia	New York Red Bulls
Joshua Kennedy	Forward	Australia	Nagoya Grampus
Mathew Leckie	Forward	Australia	FSV Frankfurt
Adam Taggart	Forward	Australia	Newcastle Jets
Asmir Begović	Goal Keeper	Bosnia and Herzegovina	Stoke City
Asmir Avdukić	Goal Keeper	Bosnia and Herzegovina	Borac Banja Luka
Jasmin Fejzić	Goal Keeper	Bosnia and Herzegovina	VfR Aalen
Dejan Bandović	Goal Keeper	Bosnia and Herzegovina	Sarajevo
Emir Spahić	Defender	Bosnia and Herzegovina	Bayer Leverkusen
Mensur Mujdža	Defender	Bosnia and Herzegovina	SC Freiburg
Avdija Vršajević	Defender	Bosnia and Herzegovina	Hajduk Split
Ognjen Vranješ	Defender	Bosnia and Herzegovina	Elazığspor
Ermin Bičakčić	Defender	Bosnia and Herzegovina	Eintracht Braunschweig
Ervin Zukanović	Defender	Bosnia and Herzegovina	Gent
Toni Šunjić	Defender	Bosnia and Herzegovina	Zorya Luhansk
Sead Kolašinac	Defender	Bosnia and Herzegovina	Schalke 04
Zvjezdan Misimović	Midfielder	Bosnia and Herzegovina	Guizhou Renhe
Miralem Pjanić	Midfielder	Bosnia and Herzegovina	Roma
Senijad Ibričić	Midfielder	Bosnia and Herzegovina	Kayseri Erciyesspor
Sejad Salihović	Midfielder	Bosnia and Herzegovina	1899 Hoffenheim
Haris Medunjanin	Midfielder	Bosnia and Herzegovina	Gaziantepspor
Senad Lulić	Midfielder	Bosnia and Herzegovina	Lazio
Adnan Zahirović	Midfielder	Bosnia and Herzegovina	VfL Bochum
Miroslav Stevanović	Midfielder	Bosnia and Herzegovina	Alavés
Muhamed Bešić	Midfielder	Bosnia and Herzegovina	Ferencváros
Izet Hajrović	Midfielder	Bosnia and Herzegovina	Galatasaray
Zoran Kvržić	Midfielder	Bosnia and Herzegovina	Rijeka
Anel Hadžić	Midfielder	Bosnia and Herzegovina	Sturm Graz
Tino-Sven Sušić	Midfielder	Bosnia and Herzegovina	Hajduk Split
Srđan Stanić	Midfielder	Bosnia and Herzegovina	Željezničar
