#Italy
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
,GK,Salvatore Sirigu,12 January 1987 (aged 34),26,0,Torino
,GK,Gianluigi Donnarumma,25 February 1999 (aged 22),25,0,Milan
,GK,Alex Meret,22 March 1997 (aged 24),2,0,Napoli
,DF,Giorgio Chiellini (captain),14 August 1984 (aged 36),106,8,Juventus
,DF,Leonardo Bonucci,1 May 1987 (aged 34),101,7,Juventus
,DF,Alessandro Florenzi,11 March 1991 (aged 30),42,2,Paris Saint-Germain
,DF,Emerson,3 August 1994 (aged 26),14,0,Chelsea
,DF,Francesco Acerbi,10 February 1988 (aged 33),13,1,Lazio
,DF,Leonardo Spinazzola,25 March 1993 (aged 28),13,0,Roma
,DF,Giovanni Di Lorenzo,4 August 1993 (aged 27),7,0,Napoli
,DF,Gianluca Mancini,17 April 1996 (aged 25),6,0,Roma
,DF,Alessandro Bastoni,13 April 1999 (aged 22),5,0,Internazionale
,DF,Rafael Tolói,10 October 1990 (aged 30),2,0,Atalanta
,,,,,,
,MF,Marco Verratti,5 November 1992 (aged 28),40,3,Paris Saint-Germain
,MF,Jorginho,20 December 1991 (aged 29),27,5,Chelsea
,MF,Nicolò Barella,7 February 1997 (aged 24),22,4,Internazionale
,MF,Lorenzo Pellegrini,19 June 1996 (aged 24),17,2,Roma
,MF,Bryan Cristante,3 March 1995 (aged 26),10,1,Roma
,MF,Manuel Locatelli,8 January 1998 (aged 23),9,1,Sassuolo
,MF,Stefano Sensi,5 August 1995 (aged 25),8,3,Internazionale
,MF,Matteo Pessina,21 April 1997 (aged 24),5,2,Atalanta
,,,,,,
,FW,Ciro Immobile,20 February 1990 (aged 31),45,12,Lazio
,FW,Lorenzo Insigne,4 June 1991 (aged 30),40,7,Napoli
,FW,Andrea Belotti,20 December 1993 (aged 27),33,12,Torino
,FW,Federico Bernardeschi,16 February 1994 (aged 27),30,6,Juventus
,FW,Federico Chiesa,25 October 1997 (aged 23),24,1,Juventus
,FW,Domenico Berardi,1 August 1994 (aged 26),10,4,Sassuolo
,FW,Matteo Politano,3 August 1993 (aged 27),4,3,Napoli

#Switzerland
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
,GK,Yann Sommer,17 December 1988 (aged 32),61,0,Borussia Mönchengladbach
